58,"availability","可用性","システムが継続して稼働できる度合いや能力","2021-01-27 15:56:13","2021-01-27 15:57:13"
59,"arn","Amazon リソースネーム (ARN)",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
60,"amend","修正する",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
61,"inference","推論",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
62,"struggling","悪戦苦闘",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
63,"waste","無駄",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
64,"ommit","省く",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
65,"suppressed","抑制された",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
66,"diagnostic","診断",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
67,"vervose","冗長な",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
68,"verbosity","冗長さ",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
69,"verficate","確認済",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
70,"validity","有効",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
71,"square","二乗",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
72,"optional","任意",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
73,"exclusive","独占",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
74,"exclusion","除外",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
75,"threshold","閾値",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
76,"payload","パケットに含まれるヘッダやトレーラなどの不可情報を除いたデータ本体のこと",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
77,"compatible","互換性のある",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
78,"extract","展開",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
79,"credential","信任状",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
80,"annotation","注釈",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
81,"subscriptable","添字",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
82,"per_page","1ページあたり",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
83,"parse","解析",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
84,"usage","使用法",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
85,"description","解説",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
86,"specifications","仕様書",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
87,"diverged","分岐した",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
88,"prefix","接頭辞",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
89,"suffix","接尾辞",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
90,"disregard","無視する",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
91,"privileged","特権",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
92,"gitst","要旨",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
93,"distribution","分布、配布、流通",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
94,"shard","破片",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
95,"implementation","実装",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
96,"assign","割り当てる",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
97,"ingress","進入",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
98,"egress","出口",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
99,"concisely","簡潔に",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
100,"procedure","手続き、戻り地のない関数",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
101,"ambiguous","あいまい",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
102,"invoke","呼び出す",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
103,"change for","付け替える",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
104,"outdated","時代遅れ",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
105,"deprecated","非推奨",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
106,"metrics","測定基準",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
107,"availability","可用性",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
108,"duplicate","複製",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
109,"diagram","図",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
110,"assumable","仮定できる",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
111,"notice","注意する",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
112,"federated","認証連携された",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
113,"grant","付与",\N,"2021-01-27 15:56:13","2021-01-27 15:56:13"
114,"workaround","一時的応急処置","","2021-01-28 11:05:24","2021-01-28 11:05:24"
